Sw_m2,span_m,MAC_m,Sh_m2,Sv_m2,MTOW_t,Wempty_t,Wfuel_t,Wcruise_t,MLW_t,MLW_frac,CLmaxTO,CLmaxLD,CL_cruise,CD_cruise,CD0_cruise,CDwave_cruise,K_cruise,LD_cruise,deltaS_landing_m2,Sw_landing_required_m2,critical,T0_envelope_kN,T0_design_5pct_kN,Takeoff,Cruise,High speed cruise,FAR 25.111,FAR 25.121a,FAR 25.121b,FAR 25.121c,FAR 25.119,FAR 25.121d
371.0,63.0055553106232,7.056583200185971,65.47058823529412,46.375,275.20227185357123,140.41575474627092,100.0865171073003,263.0088204876995,203.6496811716427,0.74,2.133166844934528,2.4315965404835556,0.6328922362111246,0.029375149562429727,0.014549243572880347,0.002419241202092072,0.030973872906225837,21.54515791880706,62.13366015326966,308.86633984673034,Takeoff,758.0497771281682,795.9522659845767,758.0497771281682,715.1888822661869,723.2126673292006,354.46891177713144,366.3567466694513,495.67495659704997,344.90220350066284,280.1350777963269,382.64311657690513
372.0,63.090411315825165,7.066087020250581,65.64705882352942,46.49999999999999,275.25983273087326,140.51741804701481,100.04241468385847,263.06384670425535,203.69227622084622,0.74,2.133435789771354,2.431955133599324,0.6313229695850967,0.02927323993797995,0.014531632224461603,0.0023970256983678485,0.03097228223196805,21.56655603966816,63.114610188583754,308.88538981141625,Takeoff,756.2329504303312,794.0445979518478,756.2329504303312,714.6287610482782,722.6936029478427,354.31203289874355,366.19749559194975,495.6606266521132,344.73112393246686,280.1600959373286,382.59646543872157
373.0,63.175153343699925,7.075578074925088,65.82352941176471,46.625,275.31932310358354,140.61958654098117,99.99973656260241,263.1207163611098,203.73629909665183,0.74,2.133703685444338,2.4323123278299685,0.6297665294412718,0.029172418052641886,0.014514112922009593,0.002375143254526685,0.030970700248854073,21.58773840087073,64.0932232987634,308.9067767012366,Takeoff,754.4368212592428,792.158662322205,754.4368212592428,714.0818899280656,722.1874416911012,354.15839893462265,366.04152318531993,495.65037645727585,344.56359237300217,280.18723677964704,382.5531215612595
374.0,63.259781852295376,7.085056415510569,66.0,46.75,275.38070945200445,140.72225187731698,99.95845757468751,263.17939745015025,203.78172499448328,0.74,2.1339705387944834,2.4326681322968295,0.6282227364884208,0.02907266540100809,0.014496684931551389,0.002353586964339873,0.03096912688584781,21.60870796754113,65.06953923808015,308.93046076191985,Takeoff,752.6610410100415,790.2940930605437,752.6610410100415,713.5480288635061,721.6939513609387,354.00795657516585,365.88877508431887,495.6441384087752,344.39955335319604,280.2164643189004,382.5130308408802
375.0,63.344297296599635,7.094522092965413,66.1764705882353,46.875,275.44395909724346,140.8254059162455,99.91855318099795,263.23985876536204,203.82852973196012,0.74,2.134236356600315,2.433022556037938,0.6266914152572974,0.028973963922901306,0.014479347526929903,0.0023323501079633817,0.03096756207268521,21.629467646363512,66.04359677628764,308.95640322371236,Takeoff,750.9052695753626,788.4505330541307,750.9052695753626,713.0269439116888,721.2129056307461,353.8606537888175,365.739198233472,495.64184654721237,344.2389527011869,280.2477434403264,382.4761404785485
376.0,63.42870012856956,7.103975157908508,66.3529411764706,47.0,275.5090401737196,140.92904072214458,99.87999945157505,263.30206987664457,203.87668972855246,0.74,2.134501145578612,2.4333756080090003,0.6251723939876442,0.02887629598929078,0.014462099989699979,0.0023114261456428672,0.030966005739863803,21.650020287210626,67.01543373060213,308.9845662693979,Takeoff,749.169175071385,786.6276338249543,749.169175071385,712.5184070274113,720.7440838520507,353.7164397813503,365.59274084522497,495.64343650470124,344.08173750154646,280.28103988993064,382.4423989381054
377.0,63.51299079715897,7.113415660622405,66.52941176470588,47.125,275.5759216027829,141.03314855690454,99.84277304587835,263.36600110468265,203.92618198605933,0.74,2.134764912385129,2.4337272970843564,0.6236655045194957,0.0287796443887647,0.014444941609026145,0.002290808711676806,0.03096445781863239,21.67036868471414,67.98508699639126,309.01491300360874,Takeoff,747.4524335748972,784.8250552536422,747.4524335748972,712.0221958699699,720.28727086909,353.57526495676666,365.4493523597678,495.64884545413315,343.9278560561151,280.31632024679635,382.4117559062101
378.0,63.5971697483465,7.122843651056431,66.70588235294117,47.25,275.64457306739183,141.13772187355318,99.8068511938386,263.43162349682467,203.97698406986993,0.74,2.13502766361531,2.4340776320579316,0.6221705821885852,0.028683992314532544,0.01442787168158198,0.0022704916086251164,0.030962918240980956,21.690515579777465,68.95259257663719,309.0474074233628,Takeoff,745.7547288708483,783.0424653143907,745.7547288708483,711.5380936177705,719.8422568408724,353.4370808797473,365.3089834064484,495.6580120604588,343.7772578463748,280.3535518965016,382.38416225386777
379.0,63.68123742516315,7.13225917882979,66.88235294117648,47.37499999999999,275.71428979918454,141.24247010242533,99.77181969675922,263.49794400448513,204.02857445139657,0.74,2.1352894058049907,2.434426621644173,0.6206851930827971,0.028589205423960352,0.014410889511451096,0.0022504382219428686,0.03096138693963068,21.710473721756763,69.91874251023165,309.08125748976835,Takeoff,744.072107932824,781.2757133294651,744.072107932824,711.0629557178735,719.4059486957215,353.3009789675323,365.1706947965589,495.66966649666,343.62906020969126,280.3920178511771,382.35863743874455
380.0,63.76519426771944,7.141662293234584,67.05882352941177,47.5,275.78640550280073,141.34795712216174,99.73844838063896,263.5668809849368,204.0819400720725,0.74,2.135550145431091,2.434774274478972,0.6192137688537174,0.028495506243750034,0.014393994410029668,0.002230704627868615,0.030959863848024134,21.730225234708037,70.88204352419018,309.1179564758098,Takeoff,742.4116325297158,779.5322141562016,742.4116325297158,710.6025017292546,718.9839821185154,353.1686516249845,365.0362380008947,495.68619225763564,343.4848970403081,280.43306978876143,382.3370168340098
