altitude_ft,altitude_m,Wfuel_t,MTOW_t,Wcruise_t,T0_design_5pct_kN,T0_envelope_kN,T0_installed_kN,critical,Cruise_kN,Takeoff_kN,High_speed_cruise_kN,CL_cruise,CD_cruise,LD_cruise,Mf_cruise,TSFC_1_per_hr,kT_cruise,rho_kg_m3,feasible_installed_thrust
32500.0,9906.0,102.86003737857062,286.515593693539,273.8210595432656,757.1399638604587,721.0856798671034,863.0,High speed cruise,600.9067523656702,681.6918845642822,721.0856798671034,0.43431587928737037,0.01989581241381869,21.829512173411683,0.6992880546575118,0.4836583811709722,0.20477868,0.41833303845708336,True
32550.0,9921.24,102.81945346557502,286.4587640428428,273.7667411248746,756.9957374039116,720.9483213370586,863.0,High speed cruise,601.7826863930721,681.4214876259446,720.9483213370586,0.4352378854568361,0.019930617597631203,21.837651709727503,0.6993636892137323,0.4835857292282287,0.2043638472,0.4175482264921172,True
32600.0,9936.480000000001,102.7793843007576,286.40265453576296,273.7131108242934,756.8533761337362,720.8127391749869,863.0,High speed cruise,602.6661090899689,681.1545697720748,720.8127391749869,0.43616336993716004,0.019965627410127623,21.845713183844897,0.6994383732040692,0.4835130564838416,0.20394901440000002,0.4167645451612747,True
32650.0,9951.720000000001,102.73983280726051,286.34726928608194,273.6601725702884,756.7128890123679,720.6789419165408,863.0,High speed cruise,603.5570867365342,680.8911485533423,720.6789419165408,0.4370923538892355,0.020000843625669746,21.85369587752072,0.6995120999593164,0.48344036292261333,0.20353418159999992,0.4159819933267826,True
32700.0,9966.960000000001,102.70080194426563,286.2926124579101,273.60793033964916,756.5742851379414,720.5469382266108,863.0,High speed cruise,604.4556864244798,680.631241770617,720.5469382266108,0.43802485867673235,0.020036268039444156,21.861599066972953,0.6995848627463835,0.4833676485293291,0.20311934879999993,0.41520056985152104,True
32750.0,9982.2,102.66229470755874,286.2386882664713,273.5563881579364,756.4375737464619,720.4167369013923,863.0,High speed cruise,605.361976069652,680.3748674789733,720.4167369013923,0.4389609058689186,0.02007190246778062,21.869422022827077,0.699656654767398,0.4832949132887559,0.20270451600000006,0.4144202735990252,True
32800.0,9997.44,102.62431413010265,286.1855009789014,273.5055501002431,756.3027642140147,720.2883468704903,863.0,High speed cruise,606.2760244248617,680.1220439917655,720.2883468704903,0.4399005172435335,0.020107748748476668,21.87716401006153,0.6997274691587905,0.4832221571856432,0.20228968320000007,0.41364110343348315,True
32850.0,10012.68,102.58686328262323,286.13305491506406,273.45542029197156,756.1698660590234,720.1617771990699,863.0,High speed cruise,607.1979010929601,679.8727898847916,720.1617771990699,0.4408437147897146,0.02014380874112836,21.88482428795244,0.6997972989903631,0.48314938020472237,0.20187485040000008,0.41286305821973657,True
32900.0,10027.92,102.54994527420608,286.0813544483822,273.40600290962556,756.0388889445555,720.0370370900529,863.0,High speed cruise,608.1276765401715,679.627124000543,720.0370370900529,0.441790520710975,0.02018008432746734,21.8924021100174,0.6998661372643415,0.4830765823307071,0.20146001759999999,0.41208613682328277,True
32950.0,10043.16,102.51356325290584,286.0304040066859,273.3573021816171,755.9098426806711,719.9141358863534,863.0,High speed cruise,609.0654221096744,679.3850654525379,719.9141358863534,0.4427409574282447,0.020216577411704798,21.89989672395837,0.6999339769144072,0.483003763548293,0.2010451848,0.41131033811027073,True
